startLatitude,startLongitude,endLatitude,endLongitude,distance,duration,encodedPolyline
-36.85693,174.765274,-36.853145,174.767349,556,459,xr}_F}yti`@@l@?A?A????A?????}@o@_Aq@e@y@Q]?????????????A??????????????????????????????AAc@c@{@cAu@{@y@_Aw@}@_Am@y@s@u@Bs@b@{@z@SR????
-36.858477,174.759682,-36.858477,174.759682,579,228,n|}_F_wsi`@????????????????????????????????????????????????
-36.859978,174.762898,-36.85709,174.765147,384,128,ze~_Fckti`@??KA_A[u@[q@[u@k@q@UYOu@g@q@{@w@o@u@kA[WYa@??
-36.85768,174.766171,-36.844458,174.766982,1601,578,nw}_Fq_ui`@????????????????e@e@eB_Am@b@a@b@]f@g@\q@NeAKs@F_Bj@iBdAsBdAm@d@@B????????YAoBz@wAv@_ANcAMgAa@_Ai@EE??[P}@a@yBaA??uAWq@]w@AkAMwAy@yBa@e@?S]kAK}@Y]A}@QmAk@uAOgAMQKA?[Uy@a@??
-36.849993,174.751099,-36.849035,174.758568,3116,903,lg|_Fkari`@??Jh@r@hAv@jA|@jAx@nA|@f@^`Aj@hA^h@`@h@j@fAt@jB|@tBd@hAb@dAt@h@hA_@hAUjAMb@dADtAH~AJbCJrCt@O@??????A????????????????????????@???A??A??AAECc@@KgBKwBIoBEkAEmA{@QeALu@q@e@gAi@oAu@kBeAaCaAaCaB{AwAqA`@sC`@_CNuCkBw@iBi@{AmAMbAs@zBc@bBgACsAkBsAmBkAmBSsBz@oAEcBUeCUsB@yAXwATqATsAMiAJgAXeADk@??
-36.854264,174.762792,-36.84758,174.772708,1724,620,bb}_Fmjti`@A???AA?A??MOk@iAy@a@eAc@iAa@aA]q@K??????????????WIeA[gAYaAc@QMI?A?s@?aAa@cA]kAc@sAm@{@QkAUmAc@_C_@e@?EKqAIgBOy@q@WGEqAP{APiBNqAJ}AJqAPcAoAsAoAs@CoAL_BVgAt@g@z@e@~@c@~@_@RM?????AH{@p@o@TS??
-36.844214,174.759273,-36.844119,174.765088,590,198,hc{_Fmtsi`@??Ke@TyA]m@u@Wu@aAc@w@a@q@BiAToAPsATwAR{ALm@?e@XcAHeAVmAPgA@C??
-36.857569,174.758725,-36.86448,174.77368,1676,407,xv}_Faqsi`@@??EFS?]LmAJyAJ}AHyA?kAE_@AAB_A@sA\cBl@}BNcA`@w@Xm@d@y@hAwBjA{BjA{BfAyBv@cCX{BTwAPwAPyANoAPoA|@c@dAYbA_@pAUbBc@bBc@xAk@\cBXuBXiCNiBEC??
-36.853074,174.7602,-36.868935,174.750423,2346,462,tz|_Fgzsi`@@??@t@`@`BdApAx@nAp@|Al@hBJrA]zA?~@IdAG`AK|@FlA?bAIjAYz@{@d@uAJmAp@A|@\nAr@b@jCLxC\bCz@fC|@hChAvBxArA`AvBx@UvABhBZbBd@~ARhB\bBXdB`@lB`@zAt@nAp@dA|Bp@hCn@lCRr@XbBJd@??
-36.851161,174.760108,-36.854292,174.763187,518,362,vn|_Fuysi`@BCn@ZRP@@????????Pk@^uBHm@A???????DIh@s@V_@rBSzAg@f@c@@???XQl@Y`@kALwAAO??????????LEb@a@B@??
-36.846047,174.772021,-36.850497,174.763547,1245,578,xn{_Fcdvi`@A@?B?A?????????@A???????EVEb@?@Sx@YlAEzA?bAh@\b@t@TpAT`ABdAc@jBq@|@T`A@x@IlACdAh@h@~@Px@TXv@jCGQz@jCYKfAx@Vr@F??????????TV@z@OZCL^b@f@\n@V~@b@z@^z@Tb@GPNCB????
-36.858562,174.754729,-36.860478,174.735658,2432,499,~|}_Faxri`@??@?Lx@VvA^nAn@`Ap@v@^v@@Bv@r@x@dAv@bAr@bAr@~@v@bAt@bA`ApArAjBnAdB~@pAlA|AnAdBvAhBpAhBp@fCd@nBf@zBf@xBj@bC`@hBh@vBl@hCl@~Bh@`Ca@z@iAl@q@p@w@t@cA`AmAhA_Ab@iAbAqApAeAx@{@hBuAh@wAl@gBn@_Bj@{ALgAV??
-36.848635,174.762163,-36.845397,174.768274,1305,539,~~{_Fofti`@I@E@UFEGY@?B??@?Yw@OgAaAQs@S{@g@mACCmBb@w@n@iA`@oA`@gCy@aBm@Qw@a@CNRhAN^FWCQ@ARSiA?cBiAF[yCRVSy@Pq@s@cB}Dx@eBNe@BoA~@Mv@^@JCNSX?@?@????CDA@A?B?BK??
